gene_id,relations,positives,negatives,mean_contrast,conditional_auc,comparison_pairs,wins_with_half_ties
ENSG00000035403,4,1,3,0.0014704863230387338,0.6666666666666666,3,2.0
ENSG00000058668,5,4,1,0.01755547523498542,0.5,4,2.0
ENSG00000063660,2,1,1,0.1735458970069884,1.0,1,1.0
ENSG00000068305,4,3,1,0.013021369775136397,0.3333333333333333,3,1.0
ENSG00000074800,4,1,3,-0.00133069356282545,0.0,3,0.0
ENSG00000102804,4,2,2,0.013096764683723401,0.75,4,3.0
ENSG00000102931,5,1,4,0.009431689977645775,1.0,4,4.0
ENSG00000105993,2,1,1,0.1905784606933594,1.0,1,1.0
ENSG00000106211,11,4,7,0.15341136710984363,0.9285714285714286,28,26.0
ENSG00000117318,3,2,1,0.09117525815963745,1.0,2,2.0
ENSG00000123505,3,1,2,0.01382008194923395,1.0,2,2.0
ENSG00000124942,3,1,2,-0.00532543659210195,0.0,2,0.0
ENSG00000143469,2,1,1,0.0783052444458007,1.0,1,1.0
ENSG00000149257,2,1,1,-0.12446784973144531,0.0,1,0.0
ENSG00000155366,3,1,2,0.0017597675323484999,1.0,2,2.0
ENSG00000160888,4,1,3,0.0036017298698425657,0.3333333333333333,3,1.0
ENSG00000167996,4,2,2,0.22379398345947263,0.75,4,3.0
ENSG00000170027,11,1,10,0.12516475915908812,1.0,10,10.0
ENSG00000170871,2,1,1,0.0892626047134399,1.0,1,1.0
ENSG00000173442,2,1,1,0.0006062164902685999,1.0,1,1.0
ENSG00000175592,3,1,2,-0.0019256900995968996,0.5,2,1.0
ENSG00000176973,8,1,7,-0.004066893032618829,0.2857142857142857,7,2.0
ENSG00000180628,3,2,1,0.0930101871490478,1.0,2,2.0
ENSG00000182512,2,1,1,0.0186770558357237,1.0,1,1.0
ENSG00000184254,3,2,1,0.00165282189846035,1.0,2,2.0
ENSG00000185567,3,1,2,-0.000732421875,0.5,2,1.0
ENSG00000187514,12,5,7,0.006052500861031615,0.6285714285714286,35,22.0
ENSG00000197019,2,1,1,0.012244623620063,1.0,1,1.0
ENSG00000197746,12,1,11,0.13023231246254652,1.0,11,11.0
ENSG00000198830,4,1,3,-0.013070742289225102,0.0,3,0.0
ENSG00000205339,5,1,4,0.28666250407695765,1.0,4,4.0
ENSG00000205542,2,1,1,0.0026440620422363004,1.0,1,1.0
ENSG00000245532,14,3,11,0.0011468005902839432,0.6666666666666666,33,22.0
ENSG00000275052,2,1,1,-0.0005613565444947,0.0,1,0.0
