Enh,n_relations,n_positive,n_negative,positive_minus_negative_mean,conditional_auc,positive_negative_comparisons
Enh102,2,1,1,0.00227832794189445,1.0,1
Enh148,3,1,2,0.13589259982109061,1.0,2
Enh16,8,1,7,-0.010292364018303975,0.0,7
Enh162,6,2,4,0.0870729051530361,1.0,8
Enh163,6,1,5,0.18728342503309245,1.0,5
Enh167,3,2,1,0.056702792644500795,0.5,2
Enh168,3,2,1,0.32659956812858587,1.0,2
Enh172,2,1,1,0.2655629515647888,1.0,1
Enh173,2,1,1,0.0112438797950744,1.0,1
Enh188,4,1,3,-0.0185732046763103,0.3333333333333333,3
Enh199,3,1,2,0.009459614753722999,1.0,2
Enh2,3,1,2,-0.0206001102924347,0.0,2
Enh200,6,1,5,0.09491085410118102,1.0,5
Enh210,4,2,2,0.34377577900886536,1.0,4
Enh211,3,2,1,0.00774848461151115,1.0,2
Enh213,4,1,3,0.0006759166717529334,0.6666666666666666,3
Enh218,10,1,9,0.017543289396497855,1.0,9
Enh219,16,2,14,0.010623676436288,0.6428571428571429,28
Enh220,11,1,10,-0.033506202697753826,0.0,10
Enh225,18,1,17,-3.997017355764879e-07,0.5882352941176471,17
Enh228,12,1,11,-0.0027150159532372637,0.0,11
Enh232,4,2,2,0.019351202994585,1.0,4
Enh237,2,1,1,0.08847570419311519,1.0,1
Enh244,4,1,3,0.2881281475226084,1.0,3
Enh247,3,1,2,-0.04406473040580745,0.0,2
Enh248,2,1,1,0.1747895479202269,1.0,1
Enh249,3,1,2,-0.005208075046539351,0.5,2
Enh252,2,1,1,0.0846250653266907,1.0,1
Enh257,4,1,3,0.0104400714238485,1.0,3
Enh258,4,1,3,0.011510419348875566,1.0,3
Enh27,3,1,2,-7.906556129459997e-05,0.5,2
Enh30,3,1,2,-0.004314642399549399,0.0,2
Enh308,6,1,5,0.009210216999054003,0.4,5
Enh31,2,1,1,0.0442693009972571,1.0,1
Enh32,2,1,1,0.0009707547724247,1.0,1
Enh322,3,2,1,0.0030492283403873,0.5,2
Enh33,2,1,1,0.037578634917736,1.0,1
Enh332,4,1,3,0.06641051173210136,1.0,3
Enh333,4,1,3,0.0545980830987295,1.0,3
Enh334,4,1,3,0.2827766003708045,1.0,3
Enh34,4,1,3,0.0025513110061485666,1.0,3
Enh343,2,1,1,0.015646517276763798,1.0,1
Enh35,4,1,3,0.13689144452412913,1.0,3
Enh351,2,1,1,-0.0068163760006427,0.0,1
Enh353,4,1,3,0.027119316160678867,1.0,3
Enh354,2,1,1,-0.0047905147075653996,0.0,1
Enh359,5,1,4,0.1699830144643783,1.0,4
Enh361,4,1,3,0.0013105769952137,1.0,3
Enh362,5,1,4,-0.00688519235700365,0.0,4
Enh37,2,1,1,0.0701874494552613,1.0,1
Enh406,6,1,5,0.012987805902957821,1.0,5
Enh421,4,1,3,0.017249455054601064,1.0,3
Enh439,5,1,4,0.03708903491497038,1.0,4
Enh448,3,1,2,0.05562652647495265,1.0,2
Enh450,4,1,3,0.000485082467397,0.3333333333333333,3
Enh455,3,1,2,-0.00914323329925535,0.0,2
Enh465,2,1,1,0.09213531017303461,1.0,1
Enh466,12,1,11,-0.001581663435155682,0.36363636363636365,11
Enh471,3,1,2,0.10081821680068971,1.0,2
Enh472,2,1,1,0.0130462050437928,1.0,1
Enh473,3,1,2,0.043732047080993645,1.0,2
