endpoint,scope,rows,genes,gene_equal_mean,gene_cluster_bootstrap_ci_low,gene_cluster_bootstrap_ci_high,gene_median,positive_genes,nonzero_genes,one_sided_gene_sign_p,one_sided_gene_sign_flip_p,majority_concordant_genes,tied_genes,majority_evaluable_genes,one_sided_majority_gene_binomial_p
primary_positive_minus_negative,all_161,161,121,0.44319721900406783,0.1425358149706696,0.7454873280927706,0.02353946045910765,83.0,121.0,2.633665468533018e-05,0.0020499897500512497,,,,
primary_positive_minus_negative,development_128,128,97,0.5278160503949153,0.17617307473088215,0.8800870634042519,0.0231164471182625,65.0,97.0,0.0005248036662456144,0.0019349903250483749,,,,
primary_positive_minus_negative,sealed_33,33,24,0.10119610879939263,-0.44640939621374526,0.5397282316226691,0.05492234940570555,18.0,24.0,0.011327922344207764,0.37639311803440983,,,,
GC_sensitivity_positive_minus_negative,all_161,161,121,0.40526272010913994,0.10502070603373424,0.7067268233821695,0.0231164471182625,78.0,121.0,0.0009365474650161105,0.0044399778001109995,,,,
GC_sensitivity_positive_minus_negative,development_128,128,97,0.4805625308443646,0.12872146988356825,0.8399529717976023,0.0157328682185244,61.0,97.0,0.007194816503547833,0.0041399793001035,,,,
GC_sensitivity_positive_minus_negative,sealed_33,33,24,0.10092598505427382,-0.44956463339912417,0.5397196671391461,0.05492234940570555,17.0,24.0,0.03195732831954956,0.37860810695946523,,,,
linked_minus_wrong_gene,all_161,161,121,0.3386691340025286,-0.07643469574666005,0.7592382358780344,0.0028286343155015,64.0,121.0,0.29281275892775027,0.056324718376408116,,,,
linked_minus_wrong_gene,development_128,128,97,0.27496531001260466,-0.18312131059972023,0.7347077904132487,0.0031005310644456,51.0,97.0,0.34242938860720196,0.12457937710311448,,,,
linked_minus_wrong_gene,sealed_33,33,24,0.5961387559618045,-0.3600577965585033,1.523813230270884,0.0009319316461491,13.0,24.0,0.4194098711013794,0.11905940470297649,,,,
positive_CRISPR_direction_agreement,all_161,161,121,0.7871900826446281,0.7169421487603306,0.8533057851239669,1.0,,,,,91.0,9.0,112.0,7.09930540827549e-12
positive_CRISPR_direction_agreement,development_128,128,97,0.75,0.6675257731958762,0.8273195876288659,1.0,,,,,69.0,8.0,89.0,8.884820300356943e-08
positive_CRISPR_direction_agreement,sealed_33,33,24,0.9375,0.8333333333333334,1.0,1.0,,,,,22.0,1.0,23.0,2.86102294921875e-06
