split,estimand,estimate,bootstrap_ci_low,bootstrap_ci_high,n_genes,bootstrap_resamples,seed
all,mean,0.44319721900406783,0.1355047822753516,0.7439204343001037,121,20000,20260808
all,trimmed_10pct,0.3351314533912056,0.16254609579346527,0.5627400947588835,121,20000,20260808
all,trimmed_20pct,0.16586154034949496,0.0714658719411837,0.33205332977695934,121,20000,20260808
all,winsorized_10pct,0.5153092608807655,0.24181365225798954,0.7496716978482344,121,20000,20260808
all,winsorized_20pct,0.3251967499238865,0.12410393372442871,0.543522268350071,121,20000,20260808
all,median,0.02353946045910765,0.0074984039196923,0.120216573881569,121,20000,20260808
development,mean,0.5278160503949153,0.17731992455637044,0.8829399875826788,97,20000,20260808
development,trimmed_10pct,0.4035583336096583,0.17255703379922852,0.6848933152787835,97,20000,20260808
development,trimmed_20pct,0.17004764923754068,0.06490032458705998,0.42167096502474727,97,20000,20260808
development,winsorized_10pct,0.594808123325539,0.27396177874196115,0.8800264329413325,97,20000,20260808
development,winsorized_20pct,0.3297165949752496,0.11732729291839718,0.7578572933755385,97,20000,20260808
development,median,0.0231164471182625,0.0074984039196923,0.120216573881569,97,20000,20260808
confirmation,mean,0.10119610879939263,-0.44827323894016735,0.5278091612167283,24,20000,20260808
confirmation,trimmed_10pct,0.26519055534131575,-0.2069376687340999,0.5511790818156399,24,20000,20260808
confirmation,trimmed_20pct,0.2018955265692458,-0.028730796927204313,0.5150348150262929,24,20000,20260808
confirmation,winsorized_10pct,0.29876909639716764,-0.48883871315373484,0.5920067451008195,24,20000,20260808
confirmation,winsorized_20pct,0.32639828744977256,-0.0901987012888895,0.5844144974962876,24,20000,20260808
confirmation,median,0.05492234940570555,0.0037748037781923,0.3044701483009353,24,20000,20260808
