pair_id,gene_id,baseline_log_likelihood,full_log_likelihood,full_minus_baseline_log_likelihood
PRIMARY_019,ENSG00000076662,-0.051600950861462755,-0.03407292211616733,0.017528028745295424
PRIMARY_024,ENSG00000100321,-0.561974298828245,-1.9594413220399476,-1.3974670232117026
PRIMARY_026,ENSG00000101236,-2.3433081514218412,-2.621685730154441,-0.27837757873259994
PRIMARY_039,ENSG00000115875,-0.6141152590853952,-0.5935625014767673,0.02055275760862796
PRIMARY_040,ENSG00000116691,-0.12150029075084826,-0.10331571904438107,0.018184571706467187
PRIMARY_042,ENSG00000116830,-0.4049189590442489,-0.3656985999802185,0.03922035906403043
PRIMARY_050,ENSG00000126698,-0.28477602398844837,-0.22659726962497842,0.05817875436346995
PRIMARY_051,ENSG00000128039,-0.5258156028760017,-0.5567227432332954,-0.030907140357293694
PRIMARY_054,ENSG00000131389,-0.5092267579405517,-0.4115423560985058,0.09768440184204591
PRIMARY_055,ENSG00000131389,-0.20507809769459492,-0.06916845322029286,0.13590964447430207
PRIMARY_060,ENSG00000134107,-0.5852285737140493,-0.5030199265515273,0.08220864716252207
PRIMARY_068,ENSG00000136770,-0.36739980303086595,-0.30839541947574683,0.05900438355511911
PRIMARY_069,ENSG00000137193,-0.3406112274758071,-0.3000918092772648,0.04051941819854227
PRIMARY_070,ENSG00000137193,-0.4444706349326679,-0.45948919093523916,-0.015018556002571237
PRIMARY_071,ENSG00000137198,-0.009318713012311262,-0.005642113878033794,0.0036765991342774685
PRIMARY_072,ENSG00000137198,-0.03751771617353025,-0.01934660862325735,0.018171107550272902
PRIMARY_077,ENSG00000141179,-7.0693077437199925e-06,-4.591868892875886e-06,2.4774388508441068e-06
PRIMARY_089,ENSG00000152078,-0.2314657745667287,-0.25032953427773363,-0.01886375971100493
PRIMARY_090,ENSG00000152078,-0.049590181225381565,-0.0206589465035453,0.028931234721836264
PRIMARY_093,ENSG00000152804,-0.908289141583096,-0.9500285651261265,-0.04173942354303051
PRIMARY_095,ENSG00000155506,-0.2829487128900478,-0.17362405053379984,0.10932466235624796
PRIMARY_098,ENSG00000158373,-0.5532697586257614,-0.47823619551322233,0.07503356311253911
PRIMARY_099,ENSG00000158406,-1.224708607967103,-1.1558053827587946,0.06890322520830838
PRIMARY_100,ENSG00000158406,-0.6826110098645404,-0.7135591356021276,-0.030948125737587207
PRIMARY_107,ENSG00000163602,-0.8707592253504879,-0.9895139596053318,-0.11875473425484395
PRIMARY_113,ENSG00000164442,-0.24871835095554612,-0.20931879909754933,0.03939955185799679
PRIMARY_114,ENSG00000164442,-0.47381821252863465,-0.3720595703781939,0.10175864215044073
PRIMARY_115,ENSG00000164442,-0.21482511582688116,-0.2723201931536028,-0.05749507732672163
PRIMARY_116,ENSG00000164442,-0.6055710458785859,-0.569643850309831,0.0359271955687549
PRIMARY_121,ENSG00000168785,-0.5085974619402405,-0.3728378170144701,0.13575964492577036
PRIMARY_122,ENSG00000168785,-0.18205267341543394,-0.10766912097141097,0.07438355244402296
PRIMARY_157,ENSG00000198087,-0.7086004672681903,-0.5342029595803898,0.1743975076878005
PRIMARY_159,ENSG00000198729,-0.04786720291785033,-0.04975425517884523,-0.0018870522609948995
