pair_id,gene_id,pilot_split,positive_deletion_strength,negative_deletion_strength,paired_strength_difference,positive_direction_agreement,status
PRIMARY_001,ENSG00000005249,development,-0.01536352407253,0.0265720526081967,-0.0419355766807267,False,COMPLETED
PRIMARY_002,ENSG00000005249,development,3.7074070980346265,0.0624504393120535,3.644956658722573,True,COMPLETED
PRIMARY_003,ENSG00000005249,development,-0.0314830674434674,-0.0440773501358915,0.0125942826924241,False,COMPLETED
PRIMARY_004,ENSG00000005249,development,3.335403016910149,0.0004256176078278,3.3349773993023213,True,COMPLETED
PRIMARY_005,ENSG00000006042,development,0.0776756366136544,-0.3344834135668995,0.4121590501805539,True,COMPLETED
PRIMARY_006,ENSG00000006042,development,0.4761662820227412,0.0993990464530423,0.3767672355696989,True,COMPLETED
PRIMARY_007,ENSG00000013306,development,5.854343102387727,-0.001315668774227,5.855658771161954,True,COMPLETED
PRIMARY_008,ENSG00000013306,development,0.0195672855941069,0.2152598458015919,-0.195692560207485,True,COMPLETED
PRIMARY_009,ENSG00000059804,development,-0.0257895081456069,0.0308936101825487,-0.0566831183281557,False,COMPLETED
PRIMARY_010,ENSG00000067082,development,-0.0052311580050208,0.0399451824012011,-0.0451763404062219,False,COMPLETED
PRIMARY_011,ENSG00000067082,development,0.0176478737362266,0.0046162731710488,0.0130316005651778,True,COMPLETED
PRIMARY_012,ENSG00000072274,development,0.0314947603052075,-0.0029822715994178,0.0344770319046254,True,COMPLETED
PRIMARY_013,ENSG00000072274,development,0.0173264795643444,0.0047245905507544,0.0126018890135899,True,COMPLETED
PRIMARY_014,ENSG00000073921,development,0.0302660111574013,0.0036589772445987,0.0266070339128026,True,COMPLETED
PRIMARY_015,ENSG00000073921,development,0.1144420084398047,0.0046056678819708,0.1098363405578339,True,COMPLETED
PRIMARY_016,ENSG00000073921,development,0.0147393713812951,-0.0011471467076775,0.0158865180889726,True,COMPLETED
PRIMARY_017,ENSG00000073921,development,0.0002600275743569,-0.0158557128499792,0.0161157404243361,True,COMPLETED
PRIMARY_018,ENSG00000073921,development,0.027253869514948,-0.0070026647020897,0.0342565342170377,True,COMPLETED
PRIMARY_019,ENSG00000076662,confirmation,5.451032420828861,4.264055047488087,1.186977373340774,True,COMPLETED
PRIMARY_020,ENSG00000081026,development,4.294900593586575,3.876266057437803,0.4186345361487711,True,COMPLETED
PRIMARY_021,ENSG00000081154,development,-0.0002821276982896,0.0704001600493136,-0.0706822877476032,False,COMPLETED
PRIMARY_022,ENSG00000089248,development,0.0007323989120422,-0.0001390967671657,0.0008714956792079,True,COMPLETED
PRIMARY_023,ENSG00000090273,development,-0.0066076647029404,0.0053647984754565,-0.011972463178397,False,COMPLETED
PRIMARY_024,ENSG00000100321,confirmation,0.0540063824568131,4.895257117853715,-4.841250735396902,True,COMPLETED
PRIMARY_025,ENSG00000100393,development,-0.2997073544385396,0.2178615840241695,-0.5175689384627091,False,COMPLETED
PRIMARY_026,ENSG00000101236,confirmation,0.1214456245402937,-0.0089852756488166,0.1304309001891104,True,COMPLETED
PRIMARY_027,ENSG00000105327,development,0.6070669683558774,-0.0683396104858795,0.6754065788417569,True,COMPLETED
PRIMARY_028,ENSG00000106211,development,1.824013921964163,0.0021081462252006,1.821905775738962,True,COMPLETED
PRIMARY_029,ENSG00000109255,development,0.0223122699850932,0.0499281427362738,-0.0276158727511806,True,COMPLETED
PRIMARY_030,ENSG00000113742,development,-0.0016415160544234,-0.0042229061181764,0.002581390063753,False,COMPLETED
PRIMARY_031,ENSG00000113742,development,0.0705317928467526,0.0044444834802828,0.0660873093664697,True,COMPLETED
PRIMARY_032,ENSG00000113742,development,1.2963886052603346,0.0008709109430462,1.2955176943172884,True,COMPLETED
PRIMARY_033,ENSG00000113742,development,0.0950516415108584,3.270229570003284,-3.1751779284924257,True,COMPLETED
PRIMARY_034,ENSG00000115310,development,0.5949033244873139,0.0750362510375226,0.5198670734497912,True,COMPLETED
PRIMARY_035,ENSG00000115525,development,0.3189651103301836,0.018566015491384,0.3003990948387995,True,COMPLETED
PRIMARY_036,ENSG00000115738,development,2.0199282911626946,-0.0002208139767665,2.020149105139461,True,COMPLETED
PRIMARY_037,ENSG00000115738,development,2.6732445016863906,-0.0198097991310852,2.693054300817476,True,COMPLETED
PRIMARY_038,ENSG00000115738,development,2.6590884860271866,0.0438416480551806,2.615246837972006,True,COMPLETED
PRIMARY_039,ENSG00000115875,confirmation,0.0054521321683367,0.0016773283901443,0.0037748037781923,True,COMPLETED
PRIMARY_040,ENSG00000116691,confirmation,-0.0026681533778383,0.0027367637157453,-0.0054049170935837,False,COMPLETED
PRIMARY_041,ENSG00000116815,development,7.098589251555061,0.0621727523929269,7.036416499162134,True,COMPLETED
PRIMARY_042,ENSG00000116830,confirmation,5.196230585293142,5.117418482535603,0.0788121027575385,True,COMPLETED
PRIMARY_043,ENSG00000122779,development,4.2361645253218825,3.0346516826195096,1.201512842702373,True,COMPLETED
PRIMARY_044,ENSG00000124575,development,0.0136752553846726,0.0013867219578163,0.0122885334268563,True,COMPLETED
PRIMARY_045,ENSG00000124596,development,-0.0002383558570742,0.0773575072957957,-0.0775958631528699,False,COMPLETED
PRIMARY_046,ENSG00000124657,development,-0.8509186151877768,-0.4841948544862751,-0.3667237607015017,False,COMPLETED
PRIMARY_047,ENSG00000124657,development,-0.2974573844399475,-0.2112898018638724,-0.086167582576075,False,COMPLETED
PRIMARY_048,ENSG00000124882,development,2.472164464384929,-0.0059705809177446,2.4781350453026736,True,COMPLETED
PRIMARY_049,ENSG00000125611,development,0.0036854523822471,-0.0033329840263514,0.0070184364085985,True,COMPLETED
PRIMARY_050,ENSG00000126698,confirmation,0.0012045608413036,-0.0001928555796322,0.0013974164209358,True,COMPLETED
PRIMARY_051,ENSG00000128039,confirmation,0.0015488244303183,-0.0054593025342652,0.0070081269645836,True,COMPLETED
PRIMARY_052,ENSG00000129538,development,0.0221730181454233,6.035879739768335,-6.013706721622912,True,COMPLETED
PRIMARY_053,ENSG00000130770,development,0.0021345715854401,-0.002253925312857,0.0043884968982972,True,COMPLETED
PRIMARY_054,ENSG00000131389,confirmation,0.0083356826429188,0.0001041416508176,0.0082315409921012,True,COMPLETED
PRIMARY_055,ENSG00000131389,confirmation,4.89487768464213,1.8648861726806103,3.0299915119615193,True,COMPLETED
PRIMARY_056,ENSG00000131914,development,3.3750864961320133,-0.0059365551345704,3.381023051266584,True,COMPLETED
PRIMARY_057,ENSG00000131981,development,0.4876429554245691,0.5296815125691673,-0.0420385571445981,True,COMPLETED
PRIMARY_058,ENSG00000132002,development,-0.0034752093063374,0.0027419172753955,-0.006217126581733,False,COMPLETED
PRIMARY_059,ENSG00000133639,development,0.0077912379696467,-0.0009886114423345,0.0087798494119812,True,COMPLETED
PRIMARY_060,ENSG00000134107,confirmation,0.0020933659505342,0.0112195984701326,-0.0091262325195984,True,COMPLETED
PRIMARY_061,ENSG00000135363,development,0.0865493742500937,-0.0883145162065108,0.1748638904566046,True,COMPLETED
PRIMARY_062,ENSG00000135372,development,3.3449009242209193,2.394035574606675,0.9508653496142444,True,COMPLETED
PRIMARY_063,ENSG00000135821,development,6.380733054810703,6.58382486082108,-0.2030918060103772,True,COMPLETED
PRIMARY_064,ENSG00000135932,development,4.246348191012199,1.179848130673923,3.066500060338276,True,COMPLETED
PRIMARY_065,ENSG00000136244,development,-0.4418784760549843,-0.1147151802087562,-0.327163295846228,False,COMPLETED
PRIMARY_066,ENSG00000136244,development,0.6582400582209762,-0.1146799119417965,0.7729199701627727,True,COMPLETED
PRIMARY_067,ENSG00000136732,development,0.2960711852615532,0.0153750344550545,0.2806961508064987,True,COMPLETED
PRIMARY_068,ENSG00000136770,confirmation,0.0430298097150743,0.0119972136612016,0.0310325960538726,True,COMPLETED
PRIMARY_069,ENSG00000137193,confirmation,3.179114586964954,2.6771844342197486,0.5019301527452056,True,COMPLETED
PRIMARY_070,ENSG00000137193,confirmation,3.3961558234218243,2.492976692763879,0.9031791306579456,True,COMPLETED
PRIMARY_071,ENSG00000137198,confirmation,0.0419757817195582,0.0089805016192894,0.0329952801002688,True,COMPLETED
PRIMARY_072,ENSG00000137198,confirmation,5.7402447703796415,5.235858474803797,0.5043862955758449,True,COMPLETED
PRIMARY_073,ENSG00000138685,development,0.6023551116248864,0.2593272127636172,0.3430278988612691,True,COMPLETED
PRIMARY_074,ENSG00000138756,development,0.306872422990228,0.1590280540664066,0.1478443689238213,True,COMPLETED
PRIMARY_075,ENSG00000138756,development,-0.0037479785875254,-0.01005308591761,0.0063051073300846,False,COMPLETED
PRIMARY_076,ENSG00000140545,development,0.023049687419542,0.0164249192835566,0.0066247681359854,True,COMPLETED
PRIMARY_077,ENSG00000141179,confirmation,4.166711347319559,5.6609787305472645,-1.4942673832277054,True,COMPLETED
PRIMARY_078,ENSG00000141401,development,0.2454244049937886,-0.0593057329142352,0.3047301379080238,True,COMPLETED
