relation_id,Enh,enhancer_id,gene_id,model_ontology,model_track_name,model_track_source,alphagenome_rnaseq_lfc,alphagenome_deletion_strength,status
Enh100_GNG5,Enh100,Enh100,ENSG00000174021,CL:0000127,CL:0000127 total RNA-seq,encode,0.0006707906723022,-0.0006707906723022,COMPLETED
Enh100_RPF1,Enh100,Enh100,ENSG00000117133,CL:0000127,CL:0000127 total RNA-seq,encode,0.0003252178430557,-0.0003252178430557,COMPLETED
Enh101_GNG5,Enh101,Enh101,ENSG00000174021,CL:0000127,CL:0000127 total RNA-seq,encode,-0.0032402873039245,0.0032402873039245,COMPLETED
Enh101_RPF1,Enh101,Enh101,ENSG00000117133,CL:0000127,CL:0000127 total RNA-seq,encode,-0.0019259601831436,0.0019259601831436,COMPLETED
Enh102_ENO1,Enh102,Enh102,ENSG00000074800,CL:0000127,CL:0000127 total RNA-seq,encode,-9.918212890625e-05,9.918212890625e-05,COMPLETED
Enh102_RERE,Enh102,Enh102,ENSG00000142599,CL:0000127,CL:0000127 total RNA-seq,encode,0.0021791458129882,-0.0021791458129882,COMPLETED
Enh103_ENO1,Enh103,Enh103,ENSG00000074800,CL:0000127,CL:0000127 total RNA-seq,encode,-0.0012962818145751,0.0012962818145751,COMPLETED
Enh104_ENO1,Enh104,Enh104,ENSG00000074800,CL:0000127,CL:0000127 total RNA-seq,encode,-0.0015506744384765,0.0015506744384765,COMPLETED
Enh104_RERE,Enh104,Enh104,ENSG00000142599,CL:0000127,CL:0000127 total RNA-seq,encode,0.0005912780761718,-0.0005912780761718,COMPLETED
Enh105_ENO1,Enh105,Enh105,ENSG00000074800,CL:0000127,CL:0000127 total RNA-seq,encode,-0.0014426708221435,0.0014426708221435,COMPLETED
Enh105_RERE,Enh105,Enh105,ENSG00000142599,CL:0000127,CL:0000127 total RNA-seq,encode,8.45193862915039e-05,-8.45193862915039e-05,COMPLETED
Enh106_CLSTN1,Enh106,Enh106,ENSG00000171603,CL:0000127,CL:0000127 total RNA-seq,encode,-0.0007683038711547,0.0007683038711547,COMPLETED
Enh107_CLSTN1,Enh107,Enh107,ENSG00000171603,CL:0000127,CL:0000127 total RNA-seq,encode,-0.01673424243927,0.01673424243927,COMPLETED
Enh107_KIF1B,Enh107,Enh107,ENSG00000054523,CL:0000127,CL:0000127 total RNA-seq,encode,-2.7418136596679688e-06,2.7418136596679688e-06,COMPLETED
Enh107_LZIC,Enh107,Enh107,ENSG00000162441,CL:0000127,CL:0000127 total RNA-seq,encode,0.000425636768341,-0.000425636768341,COMPLETED
Enh108_MRPL43,Enh108,Enh108,ENSG00000055950,CL:0000127,CL:0000127 total RNA-seq,encode,-0.0007638125680387,0.0007638125680387,COMPLETED
Enh108_SFXN3,Enh108,Enh108,ENSG00000107819,CL:0000127,CL:0000127 total RNA-seq,encode,-0.00105881690979,0.00105881690979,COMPLETED
Enh109_DPCD,Enh109,Enh109,ENSG00000166171,CL:0000127,CL:0000127 total RNA-seq,encode,0.0004398822784423,-0.0004398822784423,COMPLETED
Enh109_MRPL43,Enh109,Enh109,ENSG00000055950,CL:0000127,CL:0000127 total RNA-seq,encode,0.0011271759867668,-0.0011271759867668,COMPLETED
Enh109_OGA,Enh109,Enh109,ENSG00000198408,CL:0000127,CL:0000127 total RNA-seq,encode,0.0002469420433044,-0.0002469420433044,COMPLETED
Enh109_SFXN3,Enh109,Enh109,ENSG00000107819,CL:0000127,CL:0000127 total RNA-seq,encode,-0.0008482336997985,0.0008482336997985,COMPLETED
Enh109_SLF2,Enh109,Enh109,ENSG00000119906,CL:0000127,CL:0000127 total RNA-seq,encode,0.0008487701416015,-0.0008487701416015,COMPLETED
Enh111_ACTR1A,Enh111,Enh111,ENSG00000138107,CL:0000127,CL:0000127 total RNA-seq,encode,-0.0002150535583496,0.0002150535583496,COMPLETED
Enh111_ARL3,Enh111,Enh111,ENSG00000138175,CL:0000127,CL:0000127 total RNA-seq,encode,0.0086475610733032,-0.0086475610733032,COMPLETED
Enh112_ATP5MD,Enh112,Enh112,ENSG00000173915,CL:0000127,CL:0000127 total RNA-seq,encode,0.0017129182815551,-0.0017129182815551,COMPLETED
Enh112_PDCD11,Enh112,Enh112,ENSG00000148843,CL:0000127,CL:0000127 total RNA-seq,encode,-0.0007722079753875,0.0007722079753875,COMPLETED
Enh113_SMNDC1,Enh113,Enh113,ENSG00000119953,CL:0000127,CL:0000127 total RNA-seq,encode,6.556510925292969e-06,-6.556510925292969e-06,COMPLETED
